workload,size,lang,ok,alloc_objects_per_op,alloc_bytes_per_op,peak_live_bytes,live_bytes_end
coll.map-insert,100k,rust,True,16.0,4456636.0,6406028.0,3063660.0
coll.map-insert,10k,rust,True,13.0,557196.0,827146.0,409322.0
coll.map-insert,1M,rust,True,20.0,71303420.0,97163438.0,43686030.0
coll.map-insert.foldhash,1M,rust,True,20.0,71303420.0,97163471.0,43686063.0
coll.map-lookup,100k,rust,True,0.0,0.0,3067543.0,3064684.0
coll.map-lookup,10k,rust,True,0.00017340038148083925,11.363967400728281,461333.0,458474.0
coll.map-lookup,1M,rust,True,0.0,0.0,43688889.0,43686030.0
coll.map-lookup.foldhash,1M,rust,True,0.0,0.0,43689114.0,43686255.0
coll.map-string,100k,rust,True,13.0,819308.0,13642551.0,13028119.0
coll.map-string,10k,rust,True,11.0,204876.0,11054901.0,10901269.0
coll.map-string,1M,rust,True,15.0,3276940.0,31393721.0,28936089.0
coll.map-string.foldhash,1M,rust,True,15.0,3276940.0,31393850.0,28936218.0
coll.priority-queue,100k,rust,True,16.0,2097120.0,1883952.0,835376.0
coll.priority-queue,10k,rust,True,13.0,262112.0,261806.0,130734.0
coll.priority-queue,1M,rust,True,19.0,16777184.0,16423026.0,8034418.0
coll.queue,100k,rust,True,10.0,32736.0,67095.0,50711.0
coll.queue,10k,rust,True,10.000117412234355,32753.95436577825,411157.0,394773.0
coll.queue,1M,rust,True,10.0,32736.0,51737.0,35353.0
coll.set-ops,100k,rust,True,32.0,4719032.0,4584049.0,1634881.0
coll.set-ops,10k,rust,True,26.0,590168.0,567151.0,198463.0
coll.set-ops,1M,rust,True,38.0,37749272.0,39627411.0,16034403.0
coll.set-ops.foldhash,1M,rust,True,38.0,37749272.0,39627452.0,16034444.0
coll.sort-structs,100k,rust,True,0.0,0.0,6438305.0,6435398.0
coll.sort-structs,10k,rust,True,0.0,0.0,693663.0,690756.0
coll.sort-structs,1M,rust,True,0.0,0.0,64037411.0,64034504.0
coll.vec-push,100k,rust,True,16.00024333860567,2097143.9211582919,2013994.0,965418.0
coll.vec-push,10k,rust,True,13.000063058063866,262137.62195429552,1785512.0,1654440.0
coll.vec-push,1M,rust,True,19.0,16777184.0,16427052.0,8038444.0
coll.vec-random-read,100k,rust,True,0.00017817371937639198,17.515189309576837,1401076.0,1398217.0
coll.vec-random-read,10k,rust,True,5e-05,20.31616,2221618.0,2218759.0
coll.vec-random-read,1M,rust,True,0.0,0.0,12039286.0,12036427.0
conc.cpu-split,n10,rust,True,12.0,2896.0,91024.0,88128.0
conc.cpu-split,n100,rust,True,102.0,26656.0,114786.0,88130.0
conc.cpu-split,n100k,rust,True,100002.0,26400256.0,26488392.0,88136.0
conc.cpu-split,n10k,rust,True,10002.0,2640256.0,2728518.0,88262.0
conc.cpu-split,n1k,rust,True,1002.0,264256.0,352580.0,88324.0
conc.fanout,n10,rust,True,4729.0,931918.8571428572,121229.0,88285.0
conc.fanout,n100,rust,True,51532.833333333336,3305440.0,160255.0,88287.0
conc.fanout,n100k,rust,True,229090.6,46052491.2,44115589.0,88357.0
conc.fanout,n10k,rust,True,93575.2,8944124.8,4515451.0,88291.0
conc.fanout,n1k,rust,True,74819.2,4876132.8,546657.0,88225.0
conc.http-client,n10,rust,True,5366224.2,1715276690.6,541506.0,452661.0
conc.http-client,n100,rust,True,5361744.8,1714033837.4,4442453.0,3720423.0
conc.http-client,n10k,rust,True,5321979.6,1723283870.2,431565342.0,362664811.0
conc.http-client,n1k,rust,True,5350516.2,1711247660.6,43506923.0,36379209.0
conc.pingpong,1M,rust,True,8.0,2944.0,90891.0,87947.0
conc.prodcons,1p1c,rust,True,12663.166666666666,3646968.0,99593.0,88385.0
conc.prodcons,1p4c,rust,True,24560.4,1393662.4,107409.0,88193.0
conc.prodcons,4p1c,rust,True,8691.8,2503502.4,106217.0,88385.0
conc.prodcons,4p4c,rust,True,24830.6,1409393.6,108345.0,88193.0
conc.sleep,n10,rust,True,13.0,2976.0,92183.0,88612.0
conc.sleep,n100,rust,True,103.0,27456.0,116790.0,89334.0
conc.sleep,n100k,rust,True,100003.125,27200264.0,28088508.0,888252.0
conc.sleep,n10k,rust,True,10003.0,2720256.0,2888730.0,168474.0
conc.sleep,n1k,rust,True,1003.0,272256.0,368984.0,96728.0
conc.spawn-join,n10,rust,True,100002.0,12800336.0,90882.0,88023.0
conc.spawn-join,n100,rust,True,100002.0,12801056.0,102295.0,88311.0
conc.spawn-join,n100k,rust,True,100002.0,13600256.0,13688375.0,88119.0
conc.spawn-join,n10k,rust,True,100002.07692307692,12880260.923076924,1448439.0,88183.0
conc.spawn-join,n1k,rust,True,100002.0,12808256.0,224567.0,88311.0
cpu.csvparse,100MiB,rust,True,25.0,4890.0,104895845.0,104892077.0
cpu.csvparse,10MiB,rust,True,25.0,4890.0,10524078.0,10520310.0
