program,go_packages_total,go_packages_std,go_packages_nonstd,go_modules,rust_crates,go_module_list,rust_crate_list
hello,60,59,1,0,0,,
http,200,197,3,0,43,,atomic-waker v1.1.2 axum v0.8.9 axum-core v0.5.6 bytes v1.12.1 futures-channel v0.3.34 futures-core v0.3.34 futures-task v0.3.34 futures-util v0.3.34 http v1.5.0 http-body v1.1.0 http-body-util v0.1.5 http-common v0.1.0 httparse v1.10.1 httpdate v1.0.3 hyper v1.11.1 hyper-util v0.1.21 itoa v1.0.18 libc v0.2.189 matchit v0.8.4 memchr v2.8.3 mime v0.3.17 mio v1.2.3 percent-encoding v2.3.2 pin-project-lite v0.2.17 proc-macro2 v1.0.107 quote v1.0.47 serde v1.0.229 serde_core v1.0.229 serde_derive v1.0.229 serde_json v1.0.151 serde_path_to_error v0.1.20 slab v0.4.12 smallvec v1.16.2 socket2 v0.6.5 syn v3.0.6 sync_wrapper v1.0.2 tokio v1.53.1 tokio-macros v2.7.2 tower v0.5.3 tower-layer v0.3.3 tower-service v0.3.3 unicode-ident v1.0.26 zmij v1.0.23
http-framework,323,219,104,19,103,github.com/gabriel-vasile/mimetype@v1.4.12 github.com/gin-contrib/sse@v1.1.0 github.com/gin-gonic/gin@v1.12.0 github.com/go-playground/locales@v0.14.1 github.com/go-playground/universal-translator@v0.18.1 github.com/go-playground/validator/v10@v10.30.1 github.com/goccy/go-yaml@v1.19.2 github.com/leodido/go-urn@v1.4.0 github.com/mattn/go-isatty@v0.0.20 github.com/pelletier/go-toml/v2@v2.2.4 github.com/quic-go/qpack@v0.6.0 github.com/quic-go/quic-go@v0.59.0 github.com/ugorji/go/codec@v1.3.1 go.mongodb.org/mongo-driver/v2@v2.5.0 golang.org/x/crypto@v0.48.0 golang.org/x/net@v0.51.0 golang.org/x/sys@v0.41.0 golang.org/x/text@v0.34.0 google.golang.org/protobuf@v1.36.10,actix-codec v0.5.4 actix-http v3.13.7 actix-macros v0.2.5 actix-router v0.5.4 actix-rt v2.15.0 actix-server v2.9.5 actix-service v2.0.3 actix-utils v3.0.2 actix-web v4.15.0 actix-web-codegen v4.4.0 bitflags v2.13.2 bytes v1.12.1 bytestring v1.5.1 cfg-if v1.0.5 convert_case v0.10.0 core_detect v1.0.0 deranged v0.5.8 derive_more v2.1.1 derive_more-impl v2.1.1 displaydoc v0.2.7 encoding_rs v0.8.42 errno v0.3.14 fnv v1.0.7 foldhash v0.2.0 form_urlencoded v1.2.2 futures-core v0.3.34 futures-sink v0.3.34 futures-task v0.3.34 futures-util v0.3.34 http v0.2.12 http-common v0.1.0 httparse v1.10.1 httpdate v1.0.3 icu_collections v2.3.0 icu_locale_core v2.3.0 icu_normalizer v2.3.0 icu_normalizer_data v2.3.0 icu_properties v2.3.0 icu_properties_data v2.3.0 icu_provider v2.3.1 idna v1.1.0 idna_adapter v1.2.2 impl-more v0.3.8 itoa v1.0.18 language-tags v0.3.2 libc v0.2.189 litemap v0.8.3 local-waker v0.1.4 lock_api v0.4.14 log v0.4.34 memchr v2.8.3 mime v0.3.17 mio v1.2.3 multiversion_no_op v1.0.0 num-conv v0.2.2 once_cell v1.21.4 parking_lot v0.12.5 parking_lot_core v0.9.12 percent-encoding v2.3.2 pin-project-lite v0.2.17 potential_utf v0.1.6 powerfmt v0.2.0 proc-macro2 v1.0.107 quote v1.0.47 regex-lite v0.1.9 ryu v1.0.23 scopeguard v1.2.0 serde v1.0.229 serde_core v1.0.229 serde_derive v1.0.229 serde_json v1.0.151 serde_urlencoded v0.7.1 signal-hook-registry v1.4.8 simdutf8 v0.1.5 slab v0.4.12 smallvec v1.16.2 socket2 v0.6.5 stable_deref_trait v1.2.1 syn v2.0.119 syn v3.0.6 synstructure v0.14.0 time v0.3.55 time-core v0.1.9 tinystr v0.8.4 tokio v1.53.1 tokio-util v0.7.19 tracing v0.1.44 tracing-attributes v0.1.31 tracing-core v0.1.36 unicode-ident v1.0.26 unicode-segmentation v1.13.3 unicode-xid v0.2.6 url v2.5.8 utf8_iter v1.0.4 writeable v0.6.4 yoke v0.8.3 yoke-derive v0.8.3 zerofrom v0.1.8 zerofrom-derive v0.1.8 zerotrie v0.2.5 zerovec v0.11.8 zerovec-derive v0.11.6 zmij v1.0.23
json,93,81,12,1,28,github.com/goccy/go-json@v0.10.6,ahash v0.8.12 bumpalo v3.20.3 bytes v1.12.1 cfg-if v1.0.5 faststr v0.2.34 getrandom v0.3.4 itoa v1.0.18 libc v0.2.189 memchr v2.8.3 once_cell v1.21.4 proc-macro2 v1.0.107 quote v1.0.47 ref-cast v1.0.27 ref-cast-impl v1.0.27 serde v1.0.229 serde_core v1.0.229 serde_derive v1.0.229 serde_json v1.0.151 simdutf8 v0.1.5 sonic-number v0.1.3 sonic-rs v0.5.10 sonic-simd v0.1.4 syn v3.0.6 thiserror v2.0.21 thiserror-impl v2.0.21 unicode-ident v1.0.26 zerocopy v0.8.58 zmij v1.0.23
cpu,112,109,3,0,15,,block-buffer v0.12.1 cfg-if v1.0.5 const-oid v0.10.2 cpufeatures v0.3.1 crypto-common v0.2.2 digest v0.11.3 hybrid-array v0.4.15 itoa v1.0.18 libc v0.2.189 memchr v2.8.3 serde_core v1.0.229 serde_json v1.0.151 sha2 v0.11.0 typenum v1.20.1 zmij v1.0.23
memory,82,79,3,0,6,,itoa v1.0.18 libc v0.2.189 memchr v2.8.3 serde_core v1.0.229 serde_json v1.0.151 zmij v1.0.23
concurrency,203,200,3,0,77,,async-channel v2.5.0 atomic-waker v1.1.2 base64 v0.23.1 bitflags v2.13.2 bytes v1.12.1 concurrent-queue v2.5.0 crossbeam-utils v0.8.23 displaydoc v0.2.7 event-listener v5.4.2 event-listener-strategy v0.5.4 form_urlencoded v1.2.2 futures-channel v0.3.34 futures-core v0.3.34 futures-task v0.3.34 futures-util v0.3.34 http v1.5.0 http-body v1.1.0 http-body-util v0.1.5 httparse v1.10.1 hyper v1.11.1 hyper-util v0.1.21 icu_collections v2.3.0 icu_locale_core v2.3.0 icu_normalizer v2.3.0 icu_normalizer_data v2.3.0 icu_properties v2.3.0 icu_properties_data v2.3.0 icu_provider v2.3.1 idna v1.1.0 idna_adapter v1.2.2 ipnet v2.12.2 itoa v1.0.18 libc v0.2.189 litemap v0.8.3 log v0.4.34 memchr v2.8.3 mio v1.2.3 once_cell v1.21.4 parking v2.2.1 percent-encoding v2.3.2 pin-project-lite v0.2.17 potential_utf v0.1.6 proc-macro2 v1.0.107 quote v1.0.47 reqwest v0.13.5 serde_core v1.0.229 serde_json v1.0.151 slab v0.4.12 smallvec v1.16.2 socket2 v0.6.5 stable_deref_trait v1.2.1 syn v3.0.6 sync_wrapper v1.0.2 synstructure v0.14.0 tinystr v0.8.4 tokio v1.53.1 tokio-macros v2.7.2 tower v0.5.3 tower-http v0.6.11 tower-layer v0.3.3 tower-service v0.3.3 tracing v0.1.44 tracing-core v0.1.36 try-lock v0.2.5 unicode-ident v1.0.26 url v2.5.8 utf8_iter v1.0.4 want v0.3.1 writeable v0.6.4 yoke v0.8.3 yoke-derive v0.8.3 zerofrom v0.1.8 zerofrom-derive v0.1.8 zerotrie v0.2.5 zerovec v0.11.8 zerovec-derive v0.11.6 zmij v1.0.23
io,82,79,3,0,6,,itoa v1.0.18 libc v0.2.189 memchr v2.8.3 serde_core v1.0.229 serde_json v1.0.151 zmij v1.0.23
strings,85,82,3,0,10,,aho-corasick v1.1.5 itoa v1.0.18 libc v0.2.189 memchr v2.8.3 regex v1.13.1 regex-automata v0.4.18 regex-syntax v0.8.11 serde_core v1.0.229 serde_json v1.0.151 zmij v1.0.23
collections,84,81,3,0,7,,foldhash v0.2.0 itoa v1.0.18 libc v0.2.189 memchr v2.8.3 serde_core v1.0.229 serde_json v1.0.151 zmij v1.0.23
