pair,program,go_variant,rust_variant,go_bytes,rust_bytes,ratio_rust_over_go,go_stripped_bytes,rust_stripped_bytes,stripped_ratio_rust_over_go,go_static,rust_static
default release build,collections,default,default,4197393,705504,0.16808147342886406,2775224,539296,0.19432521482950565,True,False
default release build,concurrency,default,default,9982266,3577112,0.3583466920236347,6783736,2401248,0.3539713219972004,True,False
default release build,cpu,default,default,4464973,738856,0.16547826828964027,2966680,574592,0.19368182614909596,True,False
default release build,hello,default,default,2337993,458440,0.1960827085453207,1507288,350096,0.23226881657652684,True,False
default release build,http,default,default,9685933,1866344,0.1926860324142238,6572344,1274680,0.19394602595360194,True,False
default release build,http-framework,default,default,21516358,3072496,0.14279814455587697,14565432,1923024,0.13202656811002927,True,False
default release build,io,default,default,4200078,671032,0.15976655671632764,2775320,514288,0.185307640200049,True,False
default release build,json,default,default,5546577,1232968,0.2222934974129089,3662664,979072,0.2673114432555102,True,False
default release build,memory,default,default,4168039,655952,0.15737664642773255,2754808,501760,0.1821397353281971,True,False
default release build,strings,default,default,4530728,3043488,0.6717437021158631,3016600,2305584,0.7642988795332494,True,False
symbols stripped,collections,stripped,strip,2777248,539304,0.19418647524455865,2775224,539296,0.19432521482950565,True,False
symbols stripped,concurrency,stripped,strip,6783136,2401256,0.3540038118062206,6783736,2401248,0.3539713219972004,True,False
symbols stripped,cpu,stripped,strip,2965664,574584,0.19374548161895616,2966680,574576,0.19367643291490824,True,False
symbols stripped,hello,stripped,strip,1507488,350104,0.2322433080727674,1507288,350096,0.23226881657652684,True,False
symbols stripped,http,stripped,strip,6574240,1274688,0.19389130910949404,6572344,1274680,0.19394602595360194,True,False
symbols stripped,http-framework,stripped,strip,14565536,1923016,0.13202507617982615,14565432,1923008,0.1320254696187521,True,False
symbols stripped,io,stripped,strip,2777248,514296,0.18518187788775076,2775320,514288,0.185307640200049,True,False
symbols stripped,json,stripped,strip,3661984,979080,0.2673632653774566,3662664,979072,0.2673114432555102,True,False
symbols stripped,memory,stripped,strip,2756768,501768,0.18201314002484068,2754808,501760,0.1821397353281971,True,False
symbols stripped,strings,stripped,strip,3018912,2305592,0.7637161997434837,3016600,2305584,0.7642988795332494,True,False
"static, fully linked",hello,default,static,2337993,1415976,0.6056373992565418,1507288,1223536,0.8117466602268445,True,True
"static, fully linked",http,default,static,9685933,2890352,0.29840718493510127,6572344,2224528,0.33846798037351666,True,True
smallest recipe,collections,stripped,size,2777248,391184,0.14085310350390026,2775224,391176,0.14095294650089507,True,False
smallest recipe,concurrency,stripped,size,6783136,1165128,0.17176833842045922,6783736,1165120,0.1717519667628575,True,False
smallest recipe,cpu,stripped,size,2965664,425152,0.14335811474260066,2966680,425144,0.14330632221877654,True,False
smallest recipe,hello,stripped,size,1507488,292696,0.1941614128935023,1507288,292688,0.1941818683622506,True,False
smallest recipe,http,stripped,size,6574240,719496,0.10944169972498723,6572344,719488,0.10947205441468066,True,False
smallest recipe,http-framework,stripped,size,14565536,876576,0.06018151340259638,14565432,876568,0.06018139386459667,True,False
smallest recipe,io,stripped,size,2777248,375640,0.13525619606171288,2775320,375632,0.13534727526915816,True,False
smallest recipe,json,stripped,size,3661984,644168,0.17590683083268524,3662664,644160,0.17587198825772715,True,False
smallest recipe,memory,stripped,size,2756768,358808,0.13015531230774588,2754808,358800,0.13024501163057461,True,False
smallest recipe,strings,stripped,size,3018912,1605568,0.5318366351851262,3016600,1605560,0.5322415964993702,True,False
