workload,size,category,track,variant_of,unit,mode_timing,valid,invalid_reason,excluded_runs,go_n,go_median_ns,go_mean_ns,go_min_ns,go_max_ns,go_std_between_runs_ns,go_cv_within_run,go_throughput_per_s,go_peak_rss_kb,go_rss_avg_measure_kb,go_cpu_util,go_cpu_ns_per_op,go_sys_ns_per_op,go_threads_max,go_op_p50_ns,rust_n,rust_median_ns,rust_mean_ns,rust_min_ns,rust_max_ns,rust_std_between_runs_ns,rust_cv_within_run,rust_throughput_per_s,rust_peak_rss_kb,rust_rss_avg_measure_kb,rust_cpu_util,rust_cpu_ns_per_op,rust_sys_ns_per_op,rust_threads_max,rust_op_p50_ns,go_alloc_objects_per_op,go_alloc_bytes_per_op,go_gc_cycles,go_gc_cpu_fraction,go_gc_pause_max_ns,rust_alloc_objects_per_op,rust_alloc_bytes_per_op,rust_peak_live_bytes,ratio_rust_over_go,ratio_ci_low,ratio_ci_high,p_value,significant,verdict,abs_diff_ns,pct_diff,mem_pct_diff,cpu_pct_diff,go_op_p95_ns,go_op_p99_ns,go_op_p99.9_ns,go_op_max_ns,rust_op_p95_ns,rust_op_p99_ns,rust_op_p99.9_ns,rust_op_max_ns
coll.map-insert,100k,collections,baseline,,elements,iter,True,,0,10,6955773.5,7231781.912560662,5672058.0,20674276.0,276824.0666427616,0.148715956196319,14376590.323734147,18716.0,16833.80718292056,0.9960182844181891,7180676.258992806,215014.96483392373,3.0,6955773.5,10,5368786.25,5600161.019983101,4174757.0,16049088.0,351564.7390268454,0.17661687554886515,18636609.489450336,10702.0,10576.0,0.9933645835898706,5457004.225772734,27.624309392265193,1.0,5368786.25,532.0173611111111,4729664.222222222,109.0,0.018366728036589203,115467.0,16.0,4456636.0,6406028.0,0.7718460427154507,0.7148797376303401,0.8170684482223682,0.00018267179110955002,True,rust_faster,-1586987.25,-22.81539572845493,-42.818978414191065,-24.004313396825417,,,,,,,,
coll.map-insert,10k,collections,baseline,,elements,iter,True,,0,10,593199.0,630803.5822090209,486525.0,4790080.0,15729.803163368999,0.24102641499836588,16857751.99096093,7840.0,7655.1330248216655,0.994107128292983,618978.8571662942,2422.2358098021155,3.0,593199.0,10,450086.25,472053.1005880176,416891.0,3827761.0,2565.431447361459,0.20959594178689478,22218056.156058438,3356.0,3276.0,0.9904500100462701,462658.09993952175,0.0,1.0,450086.25,81.0,591672.0,357.5,0.036045761716503866,108760.0,13.0,557196.0,827146.0,0.7587441145382915,0.742785816239849,0.7715199495228439,0.00018267179110955002,True,rust_faster,-143112.75,-24.125588546170846,-57.193877551020414,-25.25461983344861,,,,,,,,
coll.map-insert,1M,collections,baseline,,elements,iter,True,,0,10,165665565.25,169881055.82619047,138507937.0,231026976.0,7365006.13875022,0.09028937081694363,6036270.600096509,166604.0,151544.61340872495,0.9891787073931506,166731916.6666667,3320166.666666667,3.0,165665565.25,10,148843639.5,150729245.3,136400945.0,215587534.0,3545751.9054500507,0.03368997747753398,6718472.366715873,114504.0,75400.53541288391,0.9965887537146195,148882000.0,32280000.0,1.0,148843639.5,8197.166666666666,75490954.66666667,7.0,0.003050824270874034,77108.0,20.0,71303420.0,97163438.0,0.8984585256168678,0.8551727074509895,0.93786713998173,0.00018267179110955002,True,rust_faster,-16821925.75,-10.154147438313226,-31.271758181076088,-10.705758695470733,,,,,,,,
coll.map-insert.foldhash,1M,collections,tuned,coll.map-insert,elements,iter,True,,0,10,162221512.75,163679738.67857146,128388089.0,220294675.0,8982211.43490622,0.05914949212971872,6165489.109857902,166394.0,154203.39781850445,0.9969074102894919,159463928.57142857,3039142.8571428573,3.0,162221512.75,10,86062947.75,89214703.43030302,79609996.0,138530014.0,2707118.3028449584,0.08228796005712413,11619480.86808437,114534.0,76788.54758791752,0.9917417889907214,88297416.66666666,31305636.363636363,1.0,86062947.75,8196.77380952381,75487437.52380952,8.0,0.0032548929749993327,84815.0,20.0,71303420.0,97163471.0,0.530527340616234,0.5070954332344605,0.5666398490645798,0.00018267179110955002,True,rust_faster,-76158565.0,-46.947265938376596,-31.16698919432191,-44.628595659415446,,,,,,,,
coll.map-lookup,100k,collections,baseline,,elements,iter,True,,0,10,2265485.0,2400272.022503064,2082835.0,11718404.0,58032.81726625318,0.21912064894582106,44140659.38651334,7124.0,7048.0,0.9948703506052463,2341376.3023157236,0.0,3.0,2265485.0,10,2264198.0,2513544.6263668286,2089448.0,17925424.0,172257.82995137133,0.2324364594358123,44175643.274271324,5908.0,5198.0,0.9940636069344426,2422801.6486255517,0.0,1.0,2264198.0,0.0,0.0,0.0,,0.0,0.0,0.0,3067543.0,0.999431909723525,0.9776740145270995,1.0536371872547694,0.7337299956962472,False,no_measurable_difference,-1287.0,-0.05680902764750152,-17.069062324536777,3.477670215987702,,,,,,,,
coll.map-lookup,10k,collections,baseline,,elements,iter,True,,0,10,110317.75,123202.33472258205,106019.0,5182255.0,927.4491300814773,0.32314500102635946,90647310.85250813,3952.0,3751.3449387056844,0.9951354779527071,121443.65786234237,236.81357533926143,3.0,110317.75,10,150279.0,164039.63930956906,145150.0,4505073.0,6260.946679394596,0.21036478458697325,66542897.455984935,2780.0,2612.0,0.9950389933599421,161861.36978114268,0.0,1.0,150279.0,0.00025787980144651747,14.7878593341491,0.0,,0.0,0.00017340038148083925,11.363967400728281,461333.0,1.3622377178649854,1.3540152231680405,1.4272544536124059,0.00018267179110955002,True,go_faster,39961.25,36.223771786498546,-29.655870445344128,33.2810396444203,,,,,,,,
coll.map-lookup,1M,collections,baseline,,elements,iter,True,,0,10,78449550.0,81320049.90210621,62787511.0,130180301.0,2108681.669542895,0.10759174094779941,12747278.559467288,56158.0,56072.0,0.9943764585069327,80435961.53846154,35205.1282051282,3.0,78449550.0,10,114279145.5,114370849.82280302,90858607.0,152257297.0,11505947.239810463,0.0666186554182626,8755365.274609426,52642.0,44868.0,0.997161117272852,115325111.1111111,277.77777777777777,1.0,114279145.5,0.0,0.0,0.0,,0.0,0.0,0.0,43688889.0,1.4567214917102775,1.3162700438163293,1.5461031006551345,0.00018267179110955002,True,go_faster,35829595.5,45.67214917102775,-6.2609067274475585,43.3750637219235,,,,,,,,
coll.map-lookup.foldhash,1M,collections,tuned,coll.map-lookup,elements,iter,True,,0,10,78403755.5,80428857.78871796,65870114.0,139035035.0,4028892.113038721,0.08472816695728136,12754491.504196798,56158.0,56072.0,0.9951779061960289,78932192.3076923,310884.6153846154,3.0,78403755.5,10,18622726.0,19473983.96240791,15161823.0,40429999.0,718501.0438475541,0.15914483473744462,53700696.13713918,52660.0,44868.0,0.9929566594892307,19450875.0,375.38461538461536,1.0,18622726.0,0.0,0.0,0.0,,0.0,0.0,0.0,43689114.0,0.23752339261350816,0.22971477769563428,0.2531471850907944,0.00018267179110955002,True,rust_faster,-59781029.5,-76.24766073864919,-6.228854303928203,-75.35748795095303,,,,,,,,
coll.map-string,100k,collections,baseline,,elements,iter,True,,0,10,2898744.0,4037140.206371654,2679433.0,32306166.0,80110.26195447054,0.6104884531642341,34497719.30314453,93286.0,82234.89864374706,0.9922825912517247,3883160.7602514215,16342.64705882353,3.0,2898744.0,10,4073587.0,4228288.034062078,3868392.0,8550247.0,97727.86702154385,0.11443944116457766,24549443.281561166,15596.0,15506.0,0.9926408117057444,4141803.3417921197,0.0,1.0,4073587.0,81.0,873528.0,6.0,0.12455188253331231,141505.0,13.0,819308.0,13642551.0,1.4052938100087486,1.3468721425679282,1.434820994886061,0.00018267179110955002,True,go_faster,1174843.0,40.52938100087486,-83.2815213429668,6.660619982262901,,,,,,,,
coll.map-string,10k,collections,baseline,,elements,iter,True,,0,10,380129.25,574433.1296447102,330185.0,10841441.0,6315.412131356819,1.3094220069937288,26308584.880034618,93392.0,88676.69121950751,0.9940834099094308,573187.0613700383,2160.081348053457,3.0,380129.25,10,472622.0,491513.7391333578,445500.0,4415838.0,3628.8306120720367,0.14216928670143214,21158560.5808054,13132.0,13108.0,0.9970093354150619,486624.6151050725,0.0,1.0,472622.0,31.0,218232.0,9.0,0.19399538884750178,84089.0,11.0,204876.0,11054901.0,1.2433192131360584,1.2209299922500645,1.2698395137426355,0.00018267179110955002,True,go_faster,92492.75,24.331921313605832,-85.93883844440637,-15.101953986550786,,,,,,,,
