run_id,workload,level,lang,window,t_s,rps,lat_p50_us,lat_p99_us,lat_max_us,server_cpu_util,server_rss_avg_kb,error_count,flags,rss_slope_mib_per_min,server_hwm_kb
20260925T083500Z-native-vm,http.users,c100-300s,go,0,0.000234734,50568.40611350223,1924,6666,14782,1.9415383325008368,13149.74328796619,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,1,10.019345291,50701.05594076162,1910,6932,31376,1.9322989289852266,13121.738217115437,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,2,20.041621392,49181.726328449215,1969,6939,15756,1.9302309094314418,13013.745253770037,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,3,30.063019575,49772.73464094667,1943,7134,18542,1.9210051993630322,12984.30890537136,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,4,40.097177378,50112.184231682244,1931,7013,31297,1.9312454412069324,13187.795748066203,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,5,50.124516614,49175.35159368207,1976,6586,20415,1.9435981411297736,13283.907862557808,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,6,60.150692412,50745.70490515808,1907,6708,17148,1.9271737961858522,13202.67089815359,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,7,70.183168029,47490.42126850778,2042,7191,24412,1.926185934238378,13163.487290310937,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,8,80.208755459,49004.580106307054,1976,7535,49859,1.9273028575274136,13220.215395897441,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,9,90.231952822,49437.89209761306,1961,6852,13950,1.9415402174873473,13184.718007894502,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,10,100.253054304,49626.77232587577,1957,6780,17982,1.938455278344477,13190.464765248404,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,11,110.275494026,48030.396285218,2019,7094,16017,1.9374589849920176,13237.22878597441,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,12,120.299261615,49376.453143144005,1970,6581,15859,1.9436029327795734,13127.896310502521,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,13,130.320402346,49593.91719416971,1954,6757,18047,1.9364235376938268,13217.688562083233,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,14,140.350199085,48769.62186373956,1984,6886,16143,1.944625986915714,13087.49047289339,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,15,150.381680537,48111.492091935776,2001,7419,21653,1.915890625741393,13154.354767011368,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,16,160.417220289,50988.51160603825,1903,6759,75078,1.9487160727539425,13112.288826572418,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,17,170.440210824,50046.781175813434,1934,6766,32242,1.9389954821405266,13249.799108236477,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,18,180.474568205,49193.013938782125,1968,6809,17225,1.9446098373914453,13149.642536753654,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,19,190.507602151,48901.01960133003,1984,6896,21918,1.938466733154749,13165.130999695668,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,20,200.535765971,48270.31777368399,2016,6862,19586,1.9456433031412323,13195.077511540887,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,21,210.558500714,50449.02585228381,1925,6479,17764,1.9375270311560557,13184.826164741826,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,22,220.587798631,50363.615523261695,1931,6462,13667,1.943580155460318,13255.080228000423,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,23,230.612704449,49893.91617811706,1932,7065,28649,1.930310710391645,13171.734771467874,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,24,240.645244826,50020.06138844779,1935,6837,15010,1.937437494281816,13186.155618660365,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,25,250.667432989,49836.710104317346,1942,6615,14762,1.9384537975693734,13144.205870619326,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,26,260.709053341,48883.109462071065,1991,6525,12943,1.9410046694749332,13221.694668911665,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,27,270.735133525,48353.67236972788,2007,6977,29585,1.9363642843417255,13212.91811712094,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,28,280.762369074,50892.55824790075,1902,6900,18880,1.9271711390694297,13152.51109019919,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,go,29,290.793007234,47704.02236096444,2022,7159,20359,1.924147770523656,13139.386022644598,0,,0.010328837656394677,13716
20260925T083500Z-native-vm,http.users,c100-300s,rust,0,0.000280162,69647.25714115251,1383,3137,32338,1.9396096750886076,6636.882079320028,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,1,10.032439265,76307.73286362193,1275,2565,45195,1.9569327212896606,7248.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,2,20.056669853,78121.2814339459,1243,2659,11837,1.9599844389296992,7376.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,3,30.092284804,67919.5214703852,1417,3096,12735,1.9230712729949038,7632.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,4,40.126016578,72568.77472214404,1336,2602,8566,1.9435860984189337,7888.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,5,50.152940815,76329.52768961106,1281,2293,7285,1.9743353847973009,7888.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,6,60.188538698,78924.01917368932,1226,2865,22084,1.9630659409813591,8016.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,7,70.212510849,76576.05372086988,1269,2486,10898,1.9639792723591576,8268.79531938988,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,8,80.231081996,74496.61649839395,1308,2524,8712,1.9615042108347998,8272.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,9,90.260168684,75170.88173276024,1293,2851,10780,1.960019411831227,8528.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,10,100.280258053,79246.05655334689,1229,2335,7364,1.9682169148973567,8528.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,11,110.304298155,76236.4763400857,1278,2447,13609,1.968181075417469,8528.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,12,120.337636988,78598.60759946224,1240,2405,16701,1.9702579672653988,8654.358668454723,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,13,130.359943409,79739.86949546628,1222,2357,10899,1.9723228917359092,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,14,140.385453181,77965.66893023725,1251,2333,7684,1.9722913390793404,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,15,150.420625789,79760.78584046126,1223,2353,6642,1.971188161264939,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,16,160.444330961,76551.4278721832,1275,2394,21295,1.9688562666015412,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,17,170.472627961,82705.95318694992,1184,2257,7952,1.9856295605141159,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,18,180.488425749,77073.64094265601,1264,2550,14377,1.9702571922969576,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,19,190.507098834,75215.79123118674,1290,2732,10244,1.9610242904330144,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,20,200.533832689,77782.19648400653,1249,2629,13772,1.9723075027638843,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,21,210.56716921,75422.0686711064,1290,2508,13130,1.9600061743209882,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,22,220.592604061,79487.89611021396,1220,2567,14658,1.9641379876837093,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,23,230.616147979,77261.69284024497,1258,2491,9495,1.970262015500286,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,24,240.646370354,76828.03746383879,1262,2519,9635,1.9641166930515384,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,25,250.690472432,76088.33378676524,1278,2528,11780,1.960977433463891,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,26,260.732693449,76462.53292600339,1273,2494,13779,1.9630746575880977,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,27,270.767414249,76589.84877241171,1271,2414,7581,1.9712877795410633,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,28,280.796534644,79953.18037672089,1218,2464,8877,1.9764242857793224,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-300s,rust,29,290.82432784,82930.44425321223,1181,2114,7691,1.9815325901049716,8656.0,0,,0.27002217790242866,8968
20260925T083500Z-native-vm,http.users,c100-60s,go,0,0.000236637,48662.62201422014,1982,7222,26625,1.9128153533198997,13319.499711938777,0,,-0.11172084631699436,13672
20260925T083500Z-native-vm,http.users,c100-60s,go,1,10.025549011,49645.93084351157,1943,6889,21366,1.938453349042882,13295.287159249294,0,,-0.11172084631699436,13672
20260925T083500Z-native-vm,http.users,c100-60s,go,2,20.066322948,49452.88122653046,1957,6963,19224,1.9220326686926552,13234.770768601154,0,,-0.11172084631699436,13672
20260925T083500Z-native-vm,http.users,c100-60s,go,3,30.087487177,51053.074289310374,1904,6469,15873,1.9467076243967725,13238.722541777088,0,,-0.11172084631699436,13672
20260925T083500Z-native-vm,http.users,c100-60s,go,4,40.11364418,51636.00401134999,1888,6188,12695,1.9498580944102388,13252.621439672062,0,,-0.11172084631699436,13672
20260925T083500Z-native-vm,http.users,c100-60s,go,5,50.147971345,50009.28812686385,1933,6803,21840,1.928207118114874,13198.153020590942,0,,-0.11172084631699436,13672
20260925T083500Z-native-vm,http.users,c100-60s,rust,0,0.000296098,73794.61791940208,1316,2616,10727,1.950757865153714,6724.0,0,,1.4375257114006483,8328
20260925T083500Z-native-vm,http.users,c100-60s,rust,1,10.025239661,77413.85347860555,1255,2507,11031,1.9610080539008976,7492.0,0,,1.4375257114006483,8328
20260925T083500Z-native-vm,http.users,c100-60s,rust,2,20.043372182,79808.74157288781,1227,2299,7605,1.9743582816123402,7748.0,0,,1.4375257114006483,8328
20260925T083500Z-native-vm,http.users,c100-60s,rust,3,30.063979768,75481.6819750858,1288,2502,14206,1.9630570120413238,8004.0,0,,1.4375257114006483,8328
20260925T083500Z-native-vm,http.users,c100-60s,rust,4,40.115184255,77328.8579897352,1257,2593,18877,1.9651838035037021,8004.0,0,,1.4375257114006483,8328
20260925T083500Z-native-vm,http.users,c100-60s,rust,5,50.14168374,74803.79179469365,1293,2811,16959,1.9528229577548557,8132.0,0,,1.4375257114006483,8328
